,Title,Price,NumberReview,Review,url
14,"USimplySeason Persian Limes / Limu Omani (Whole, 113 Grams)  ",13.68,5,5.0 out of 5 stars,https://www.amazon.ca/USimplySeason-Persian-Limes-Omani-Whole/dp/B07VL4GGMC/ref=sr_1_15?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-15
15,Lucky Brand Womens Persian Carpet Tee  ,45.24,710,4.4 out of 5 stars,https://www.amazon.ca/Lucky-Brand-Womens-Persian-Carpet/dp/B07KQJVZ1Y/ref=sr_1_16?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-16
16,"Ottomanson Persian Style Rug Oriental Area Rug, Red  ",104.13,5879,4.3 out of 5 stars,https://www.amazon.ca/Ottomanson-Persian-Style-Oriental-Area/dp/B00EP06RQW/ref=sr_1_17?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-17
17,"Good Luck Sock Women's Cat Socks, Adult  ",14.00,469,4.7 out of 5 stars,https://www.amazon.ca/Good-Luck-Sock-Womens-Persian/dp/B06XG8CBFC/ref=sr_1_18?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-18
18,"Persian Cold Wax Kit, Hair Removal Sugar Wax for Body Waxing Women & Men, 8 oz (240ml) wax, 20 strips, 2 spatulas.  ",13.97,1537,4.2 out of 5 stars,https://www.amazon.ca/Persian-Removal-Waxing-strips-spatulas/dp/B002CPPTZM/ref=sr_1_19?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-19
19,"Pacifica Body Butter Tube, Persian Rose, 8 Ounce  ",19.99,284,4.6 out of 5 stars,https://www.amazon.ca/Pacifica-Body-Butter-Persian-Rose/dp/B004W932LY/ref=sr_1_20?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-20
20,"Popular Handicrafts Mandala Bohemian Psychedelic Intricate Floral Design Kerala Tapestry Magical Thinking Tapestry Indian Bedspread Tapestry 54x84 Inches,(140cmsx215cms) Red  ",30.75,387,4.6 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03958501CF4V4W4JF0UX&url=%2FPopular-Handicrafts-Psychedelic-Intricate-140cmsx215cms%2Fdp%2FB010Q2EBZG%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-21-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_mtf
21,Maison d' Hermine Orient 100% Cotton Table Runner for Party | Dinner | Holidays | Kitchen | Thanksgiving/Christmas | Home [Single Layer (14.5 Inch by 72 Inch)]  ,28.99,6,5.0 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A005524720BZNH5NPFXDO&url=%2FMaison-Hermine-Orient-Cotton-Runner%2Fdp%2FB07X7NMWJW%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-22-spons%26psc%3D1%26smid%3DAQFPVM5F9K1FP&qualifier=1637448005&id=4647807793598547&widgetName=sp_mtf
22,"Maison d' Hermine Allure 100% Cotton Tablecloth for Kitchen Dining | Tabletop | Decoration | Parties | Weddings | Thanksgiving/Christmas (Square, 60 Inch by 60 Inch)  ",52.99,3650,4.7 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A043508523U5BTCMDTIPW&url=%2FMaison-Hermine-Allure-Cotton-Tablecloth%2Fdp%2FB074DYR5FJ%2Fref%3Dsr_1_23_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-23-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_mtf
23,TUO Nakiri Knife 6.5 inch - Professional Kitchen Vegetable Cleaver Knife Asian Usuba Knives for Vegetables and Fruits - AUS-8 Stainless Steel with Pakkawood Handle - Ring Lite Series with Gift Box  ,42.95,3407,4.6 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A031169738IV25K5UZW3V&url=%2FTUO-Nakiri-Knife-6-5-inch%2Fdp%2FB08KXVH3FR%2Fref%3Dsr_1_24_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-24-spons%26psc%3D1%26smid%3DA19JN0UVZN0KUO&qualifier=1637448005&id=4647807793598547&widgetName=sp_mtf
24,"CRKT Minimalist Persian Compact Fixed Blade Knife with Sheath: Outdoor, Plain Edge Blade, Resin Infused Fiber Handle, Nylon Sheath, 2379  ",41.45,9,4.9 out of 5 stars,https://www.amazon.ca/Minimalist-Persian-Compact-Knife-Sheath/dp/B094BZ91SX/ref=sr_1_25?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-25
25,"Safavieh Vintage Hamadan Collection VTH211A Antiqued Oriental Red and Multi Area Rug (5'3"" x 7'6"")  ",177.47,289,4.8 out of 5 stars,https://www.amazon.ca/Safavieh-Vintage-Collection-Antiqued-Oriental/dp/B01LWUEX47/ref=sr_1_26?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-26
